XM_036295843.1	LOC118649068
XM_036295844.1	TSPAN4
XM_036295845.1	LOC118649070
XM_036295846.1	CHID1
XM_036295847.1	POLR2L
XM_036295848.1	VWCE
XM_036295849.1	VWCE
XM_036295850.1	VWCE
XM_036295851.1	VWCE
XM_036295852.1	VWCE
XM_036295853.1	VWCE
XM_036295854.1	VWCE
XM_036295855.1	VWCE
XM_036295856.1	RNASE6
XM_036295857.1	TTC9C
XM_036295858.1	TTC9C
XM_036295859.1	TTC9C
XM_036295860.1	CD6
XM_036295861.1	RASSF7
XM_036295862.1	CHRM1
XM_036295863.1	CHRM1
XM_036295864.1	CHRM1
XM_036295865.1	LOC118649080
XM_036295866.1	PGGHG
XM_036295867.1	PGGHG
XM_036295868.1	LOC118649079
XM_036295869.1	IFITM5
XM_036295870.1	LOC118649083
XM_036295871.1	LOC118649083
XM_036295872.1	CDKN1C
XM_036295873.1	CD5
XM_036295874.1	MYRF
XM_036295875.1	DAGLA
XM_036295876.1	DAGLA
XM_036295877.1	LOC118649079
XM_036295878.1	DAGLA
XM_036295879.1	LOC118649088
XM_036295880.1	LOC118649088
XM_036295881.1	LOC118649088
XM_036295882.1	LOC118649088
XM_036295883.1	LOC118649089
XM_036295884.1	SLC22A8
XM_036295885.1	SLC22A8
XM_036295886.1	LOC118649079
XM_036295887.1	GATD1
XM_036295888.1	GATD1
XM_036295889.1	GATD1
XM_036295890.1	GATD1
XM_036295891.1	GATD1
XM_036295892.1	GATD1
XM_036295893.1	LRRN4CL
XM_036295894.1	LOC118649093
XM_036295895.1	LOC118649093
XM_036295896.1	LOC118649095
XM_036295897.1	SCGB1A1
XM_036295898.1	LOC118649094
XM_036295899.1	TMEM216
XM_036295900.1	TMEM216
XM_036295901.1	TMEM216
XM_036295902.1	SLC22A6
XM_036295903.1	LOC118649099
XM_036295904.1	OSBPL5
XM_036295905.1	OSBPL5
XM_036295906.1	OSBPL5
XM_036295907.1	NADSYN1
XM_036295908.1	NADSYN1
XM_036295909.1	DHCR7
XM_036295910.1	DHCR7
XM_036295911.1	DHCR7
XM_036295912.1	DHCR7
XM_036295913.1	DHCR7
XM_036295914.1	LOC118649104
